Date,Stock,Open,High,Low,Close,Volume
2014-07-02,MSFT,35.19129943847656,35.19129943847656,34.88053865151132,35.04851684912974,20208100
2014-07-03,MSFT,35.107303619384766,35.26688432561979,34.905732374764014,35.19969177480143,15969300
2014-07-07,MSFT,35.26688766479492,35.376070764336795,35.03171691858115,35.06531319717133,21952400
2014-07-08,MSFT,35.09049224853516,35.275268489686624,34.947712937766084,35.16608223774112,31218200
2014-07-09,MSFT,34.99811553955078,35.26688252518605,34.880531785538665,35.25848185480404,18445900
2014-07-10,MSFT,35.01491165161133,35.27527795180854,34.47738411925808,34.7461478854347,21854700
2014-07-11,MSFT,35.35087585449219,35.35087585449219,34.83854380959965,35.02332014157205,24083000
2014-07-14,MSFT,35.39286804199219,35.65323438885124,35.30888055147889,35.46006059753674,21881100
2014-07-15,MSFT,35.65323257446289,35.670030712494174,35.30047808364041,35.55244695019242,28748700
2014-07-16,MSFT,37.02225112915039,37.21542491450772,35.67842889495718,35.703624500550696,63318000
2014-07-17,MSFT,37.40019607543945,38.39126375997689,37.16502855840248,38.17289438043071,82180300
2014-07-18,MSFT,37.53458404541016,37.6605684950198,37.16503457256226,37.50099096890954,43407500
2014-07-21,MSFT,37.66056060791016,37.929324387134734,37.13983118615216,37.42539310206789,37604400
2014-07-22,MSFT,37.65215301513672,37.92091672207844,37.450578632972366,37.79493233273621,43095800
2014-07-23,MSFT,37.68575668334961,38.17289304174814,37.47578477795376,38.17289304174814,52362900
2014-07-24,MSFT,37.2910041809082,37.79493537095438,37.22381164681332,37.73614350557954,30725300
2014-07-25,MSFT,37.375,37.509381894315226,37.207021831126696,37.207021831126696,26737700
2014-07-28,MSFT,36.92987060546875,37.383407619508986,36.89627432178638,37.25742636157701,29684200
2014-07-29,MSFT,36.862674713134766,37.03065291247725,36.65270276493608,36.87947285346078,27763100
2014-07-30,MSFT,36.60229110717773,37.039029696085024,36.358723014348605,37.01383410162541,31921400
2014-07-31,MSFT,36.24955749511719,36.694697006015865,36.18236813682952,36.43433383726428,31537500
2014-08-01,MSFT,35.997589111328125,36.32514481786824,35.779216504356405,36.2915485392699,31170300
2014-08-04,MSFT,36.42591857910156,36.509909248226144,35.95558364766962,36.08996551435252,34277400
2014-08-05,MSFT,36.18234252929688,36.50149736214207,35.97237072688614,36.375516203044896,26266400
2014-08-06,MSFT,35.89678955078125,36.25793819186936,35.45164704187113,35.89678955078125,24634000
2014-08-07,MSFT,36.3083381652832,36.49311445033173,35.82120505549624,35.98078253554569,30314900
2014-08-08,MSFT,36.283145904541016,36.3839315220658,36.03957772526552,36.30834150794296,28942700
2014-08-11,MSFT,36.283145904541016,36.49311781000257,36.13196587629533,36.333537111344896,20351600
2014-08-12,MSFT,36.55191802978516,36.61070992041962,36.11517598227358,36.14877226375548,21431100
2014-08-13,MSFT,37.02225112915039,37.10623861707365,36.55191286659517,36.68629476962276,22889500
2014-08-14,MSFT,37.18183135986328,37.307812600971296,36.96345874900802,37.02225383955946,19313200
2014-08-15,MSFT,37.61857223510742,37.71096039813114,37.29101653269056,37.442196580562566,41611300
2014-08-18,MSFT,37.887325286865234,37.887325286865234,37.52617340889546,37.74454274715051,26891100
2014-08-19,MSFT,38.30991363525391,38.318363554048574,37.88734676907513,38.0056649757765,28139500
2014-08-20,MSFT,37.98875045776367,38.36906116741787,37.94649442867507,38.31835199815452,24770500
2014-08-21,MSFT,38.216941833496094,38.24229480944736,37.88734025041455,37.89579016775537,22285500
2014-08-22,MSFT,38.15776062011719,38.4282029532501,38.090148424870506,38.32678466038007,18294500
2014-08-25,MSFT,38.17466354370117,38.40284988529061,38.064798553397765,38.36904700885035,16910000
2014-08-26,MSFT,38.03945159912109,38.369056321814746,37.98029252108253,38.29299418948974,14873100
2014-08-27,MSFT,37.9211311340332,38.030999368241226,37.82816595308239,37.946487325882906,21287900
2014-08-28,MSFT,37.92958450317383,38.01409654604584,37.70139811870606,37.81971626829799,17657600
2014-08-29,MSFT,38.39442443847656,38.40287435698943,37.912698485012506,38.1070788501007,21607600
2014-09-02,MSFT,38.107059478759766,38.41975788764636,37.9042260743378,38.39440492106645,22976800
2014-09-03,MSFT,37.99720001220703,38.12397132219412,37.63379236243426,37.63379236243426,33684500
2014-09-04,MSFT,38.2507209777832,38.25917411380445,37.79435157436597,37.81125462248168,26475500
2014-09-05,MSFT,38.800079345703125,38.81698240278786,38.123973181956295,38.123973181956295,36939400
2014-09-08,MSFT,39.27335357666016,39.552245946695805,38.86768989592662,38.89304286849485,45736700
2014-09-09,MSFT,39.51844024658203,39.69592072819774,39.231094733404674,39.273353986697416,40302400
2014-09-10,MSFT,39.5860481262207,39.670560175670126,39.11277226709108,39.569145071545215,27302400
2014-09-11,MSFT,39.72127532958984,39.72127532958984,39.27335559689202,39.50154203352917,29216400
2014-09-12,MSFT,39.46772766113281,39.73817007228135,39.38321239269399,39.64520488896257,38244700
2014-09-15,MSFT,39.07896041870117,39.47617082872476,38.96063906311037,39.33249973282687,37667600
2014-09-16,MSFT,39.51844024658203,39.59450238900923,39.12122970184303,39.20574176057174,27910600
2014-09-17,MSFT,39.31560897827149,39.45928011910357,39.07051950092796,39.09587247309167,38311900
2014-09-18,MSFT,39.450828552246094,39.57759985561663,39.26489816701682,39.37476641500941,35556600
2014-09-19,MSFT,40.16074752807617,40.20300356167974,39.38322296926985,39.5607034686908,202522400
2014-09-22,MSFT,39.77198028564453,40.042422724713056,39.704368063913314,39.97481050298184,38686100
2014-09-23,MSFT,39.34941101074219,39.70436547994606,39.27334887820879,39.59449723874716,33430300
2014-09-24,MSFT,39.788875579833984,39.814228546073736,39.16347554652384,39.40856496659994,26582700
2014-09-25,MSFT,38.909950256347656,39.79733985823296,38.901497115265,39.619862582641645,33077400
2014-09-26,MSFT,39.22264862060547,39.40012589550314,38.67331051381323,38.8169848962985,27078800
2014-09-29,MSFT,39.24798583984375,39.349404148152765,38.67329498846894,38.85922532977473,26091000
2014-09-30,MSFT,39.18038940429688,39.281804521152914,38.88459074623481,39.18883932073136,33033100
2014-10-01,MSFT,38.791622161865234,39.324053852609815,38.74936291510604,39.10432059953032,38088400
2014-10-02,MSFT,38.67329788208008,38.96064332926723,38.5718827901104,38.73246017831735,25119400
2014-10-03,MSFT,38.95220184326172,39.12967909859256,38.54653816367909,38.85923664553747,32453200
2014-10-06,MSFT,38.95220184326172,39.12967909859256,38.80852747661651,38.977554815758026,20604000
2014-10-07,MSFT,38.47892379760742,38.81697845708218,38.38595860505546,38.75781937526332,25723700
2014-10-08,MSFT,39.53533554077149,39.62830072147737,38.31834472480795,38.43666287336899,33031000
2014-10-09,MSFT,38.74936294555664,39.55224027569383,38.656400984825886,39.2987009145789,34422800
2014-10-10,MSFT,37.21122360229492,38.97755258623637,37.14361460486256,38.5380828191775,51978100
2014-10-13,MSFT,36.89007568359375,37.659146979575006,36.754854463111165,37.03374681988791,37100200
2014-10-14,MSFT,36.95767211914063,37.50700995407867,36.814001031683446,37.075990243852914,38115700
2014-10-15,MSFT,36.52666473388672,36.67033585714124,35.580113052489786,36.3407343636252,60218700
2014-10-16,MSFT,36.12099456787109,36.40833998627078,35.68152491479349,35.94351414479531,49040400
2014-10-17,MSFT,36.8731689453125,37.135158220371565,36.16325680269977,36.509761347074566,40683300
2014-10-20,MSFT,37.25349044799805,37.3041964004284,36.180170394528346,36.39145379346501,34527900
2014-10-21,MSFT,37.92958450317383,38.01409654604584,37.3464404460025,37.49011478759825,36433800
2014-10-22,MSFT,37.50701522827149,38.09015602089426,37.3802439488664,38.03099695021923,33570900
2014-10-23,MSFT,38.04791641235352,38.41132413119536,37.63379951509341,37.709861670756325,45451900
2014-10-24,MSFT,38.98600387573242,39.63675696776821,38.18312651678291,39.577597888849326,61076700
2014-10-27,MSFT,38.800079345703125,38.96065355211534,38.63105199878429,38.63105199878429,30371300
2014-10-28,MSFT,39.29025650024414,39.29870641642888,38.68175936923591,38.75782151061194,29049800
2014-10-29,MSFT,39.400123596191406,39.46773582492787,39.1634872434708,39.24799930546287,30276100
2014-10-30,MSFT,38.91839599609375,39.146582421901904,38.68175965403864,39.146582421901904,30073900
2014-10-31,MSFT,39.67900466918945,39.695907720181886,39.28179103068564,39.67055153172957,35849700
2014-11-03,MSFT,40.09312057495117,40.11002362697238,39.49307673587229,39.6282979281144,23130400
2014-11-04,MSFT,40.2030029296875,40.33822416945048,39.932560450161546,39.97481648310085,21530800
2014-11-05,MSFT,40.44809341430664,40.48189953104868,39.94101133496221,40.39738423919358,22449600
2014-11-06,MSFT,41.15799331665039,41.29321451885341,40.388922124634256,40.4480811991026,33037800
2014-11-07,MSFT,41.14108276367188,41.3439129180381,40.81148134488137,41.3439129180381,28000600
2014-11-10,MSFT,41.31856155395508,41.53829799093841,41.03121613754193,41.11573139173833,36370100
2014-11-11,MSFT,41.30165863037109,41.36927083393653,41.11573151842076,41.28475557947973,23445200
2014-11-12,MSFT,41.22560501098633,41.34392316768696,41.00587175196057,41.039677860711606,22722100
2014-11-13,MSFT,41.92706298828125,41.960869093588045,41.16644173851653,41.250957001783526,26210400
2014-11-14,MSFT,41.90170669555664,42.298917117638446,41.741129320058086,42.03692788212378,29081700
2014-11-17,MSFT,41.80030059814453,42.01158396537,41.52985814601019,41.7580445694851,30318600
2014-11-18,MSFT,41.45161056518555,41.953384379634926,41.417591231669135,41.78329095631506,23995500
2014-11-19,MSFT,41.00936508178711,41.46010985331057,40.762729803524046,41.383567982272446,26177500
2014-11-20,MSFT,41.41758728027344,41.41758728027344,40.71170077633205,40.82226197758133,21510600
2014-11-21,MSFT,40.80525207519531,41.71524806694703,40.456562052601306,41.689735191523184,42884800
2014-11-24,MSFT,40.473575592041016,40.82226564801398,40.30348216965518,40.813762436812674,35434200
2014-11-25,MSFT,40.37151718139648,40.79674907673283,40.3545075162716,40.53310413369001,28008000
2014-11-26,MSFT,40.609649658203125,40.81376241380349,40.2099306024611,40.38853048020974,27163600
2014-11-28,MSFT,40.660675048828125,40.99235540850691,40.49058164163693,40.77973946058339,21534400
2014-12-01,MSFT,41.34955978393555,41.485633897496434,40.57563765475872,40.72021822531497,31191600
2014-12-02,MSFT,41.21347427368164,41.71524803698203,40.99235511688945,41.536651420619656,25773500
2014-12-03,MSFT,40.89030456542969,41.247497834794416,40.66067893043999,41.19646883448708,23534800
2014-12-04,MSFT,41.536659240722656,41.723762346954,40.99236283451781,41.15394981627784,30320400
2014-12-05,MSFT,41.17945098876953,41.64720862135987,41.1454349062497,41.519637768060406,27313400
2014-12-08,MSFT,40.567138671875,41.11993839649039,40.35452264450067,41.04339649686511,26663100
2014-12-09,MSFT,40.473575592041016,40.75422698135477,40.01432432487793,40.06535332487234,24330500
2014-12-10,MSFT,39.886749267578125,40.53310025923104,39.71665587685001,40.46506484949675,30431800
2014-12-11,MSFT,40.11637878417969,40.60114616988906,39.69965330888894,40.03984015114692,29060400
2014-12-12,MSFT,39.92926788330078,40.59262847331332,39.6911358619604,39.78468737988756,34248400
2014-12-15,MSFT,39.69114685058594,40.54161071190652,39.58909209562087,40.14189490318413,29247800
2014-12-16,MSFT,38.40693664550781,39.410483968707446,38.3814237752733,39.03628114680264,47801400
2014-12-17,MSFT,38.90021896362305,39.07881559826183,38.18582918080568,38.31339681514959,34970900
2014-12-18,MSFT,40.41404724121094,40.41404724121094,39.41049952196368,39.614612297176045,40105600
2014-12-19,MSFT,40.53309631347656,40.90729914124181,40.11636770897284,40.50758344284249,64551200
2014-12-22,MSFT,40.80525207519531,40.924316486189085,40.575626463595086,40.63515866909197,26566000
2014-12-23,MSFT,41.2049674987793,41.50262850030014,40.93281937045693,41.13692884456791,23648100
2014-12-24,MSFT,40.94133758544922,41.36656959733675,40.8903118203509,41.36656959733675,11437800
2014-12-26,MSFT,40.72020721435547,41.17095198534287,40.6691782189701,41.17095198534287,13197800
2014-12-29,MSFT,40.35449981689453,40.63515112725388,40.19290965116946,40.56711572399696,14439500
2014-12-30,MSFT,39.98881149291992,40.49908851640103,39.83572773702315,40.34600476050426,16384700
2014-12-31,MSFT,39.50405502319336,40.34601259996048,39.50405502319336,39.742183914519366,21552500
2015-01-02,MSFT,39.7676887512207,40.32899477025131,39.58058890771861,39.68264366274359,27913900
2015-01-05,MSFT,39.4019889831543,39.74217255290114,39.333950322647794,39.43600506914566,39673900
2015-01-06,MSFT,38.82367706298828,39.75918602468781,38.73012551796589,39.44451530037247,36447900
2015-01-07,MSFT,39.31694412231445,39.51255042211555,38.68760267847824,39.10432815588775,29114100
2015-01-08,MSFT,40.473575592041016,40.60964968109724,39.73367293556417,39.759185813430285,29645200
2015-01-09,MSFT,40.13338470458984,40.66917779564242,39.88675267344921,40.49058118004552,23944200
2015-01-12,MSFT,39.63161087036133,40.43104890029368,39.42750137984462,40.32899091077347,23651900
2015-01-13,MSFT,39.42750930786133,40.74572778374153,39.17237077128169,39.946292837322005,35270600
2015-01-14,MSFT,39.08731842041016,39.32545050848688,38.7981605768087,39.08731842041016,29719600
2015-01-15,MSFT,38.6790885925293,39.4445072183706,38.61955639321514,39.30843315647232,32750800
2015-01-16,MSFT,39.32543563842773,39.35945171449439,38.415436663099534,38.53450428424616,35695300
2015-01-20,MSFT,39.4530143737793,39.67413677414309,38.75563433126924,39.37647250353981,36161900
2015-01-21,MSFT,39.05329132080078,39.24039437188194,38.6790884629,39.07030098401376,39081100
2015-01-22,MSFT,40.08235931396485,40.090862524385976,39.18937298369882,39.44451147173741,35898000
2015-01-23,MSFT,40.1248893737793,40.30348602444816,39.80171216476243,40.277973144141896,26211600
2015-01-26,MSFT,39.98029708862305,40.082355068438005,39.325442894915575,39.97179387910258,42525500
2015-01-27,MSFT,36.28079605102539,36.74004741421552,35.813041474855986,36.52743140284189,169164000
2015-01-28,MSFT,35.030601501464844,36.39134547936543,35.00508862654093,36.34882293973831,84507100
2015-01-29,MSFT,35.72798538208008,35.821536925895444,34.69042167749857,34.80948609898643,63585300
2015-01-30,MSFT,34.35874557495117,35.362293315857286,34.316219781178184,35.33677719074098,78004900
2015-02-02,MSFT,35.107154846191406,35.18369674024467,34.21416824507854,34.52033582129161,50352500
2015-02-03,MSFT,35.3792839050293,35.65993844585401,34.911529581249226,35.404800018724984,52082400
2015-02-04,MSFT,35.58341217041016,35.89808292681198,35.17518985944664,35.66845726859577,41614800
